,kanji,kana,definition
3079,大略,たいりゃく,"summary,  outline"
3080,怒気,どき,"anger,  fit of anger"
3081,恐怖症,きょうふしょう,phobia
3082,貸し,かし,rental
3083,略す,りゃくす,to abbreviate
3084,略語,りゃくご,abbreviation
3085,道に迷う,みちにまよう,"to get lost,  to be lost"
3086,黒板,こくばん,blackboard
3087,同僚,どうりょう,"colleague,  coworker"
3088,官僚,かんりょう,"bureaucrat,  bureaucracy"
3089,乾季,かんき,dry season
3090,乾く,かわく,"to get dry,  to become dry,  to be dried"
3091,乾杯,かんぱい,"kanpai,  toast,  cheers"
3092,一人娘,ひとりむすめ,only daughter
3093,催告,さいこく,notification
3094,主催,しゅさい,"sponsorship,  promotion"
3095,倒壊,とうかい,"collapse,  destruction,  crumbling"
3096,緊張,きんちょう,"stress,  tension,  nervous"
3097,宗派,しゅうは,"sect,  denomination"
3098,禅宗,ぜんしゅう,zen sect
3099,不健康,ふけんこう,"unhealthy,  not healthy"
3100,恐怖,きょうふ,"terror,  fear"
3101,恐ろしい,おそろしい,"scary,  fearful"
3102,一杯,いっぱい,"one cup,  one cup of liquid,  a drink,  one drink"
3103,二杯,にはい,"two cups,  two cups of liquid"
3104,三杯,さんばい,"three cups,  three cups of liquid"
3105,見極める,みきわめる,"to see through,  to get to the bottom of"
3106,極めて,きわめて,extremely
3107,中欧,ちゅうおう,central europe
3108,日欧,にちおう,"europe and japan,  japan and europe"
3109,江戸,えど,"edo,  tokyo"
3110,熱烈,ねつれつ,"impassioned,  passionate enthusiasm"
3111,猛〜,もう,"fierce,  energetic"
3112,省略,しょうりゃく,"abbreviate,  leave out"
3113,痛み,いたみ,"a pain,  pain"
3114,眠り薬,ねむりぐすり,"sleeping pills,  sleeping drugs,  sleeping medicine"
3115,睡眠薬,すいみんやく,"sleeping pills,  sleeping drugs,  sleeping medicine"
3116,索引,さくいん,index
3117,積もる,つもる,"to accumulate,  to get piled up"
3118,締まる,しまる,"to tighten,  to become tight,  to become taut"
3119,大臣,だいじん,"minister,  cabinet member"
3120,直航,ちょっこう,"nonstop flight,  direct voyage"
3121,商店街,しょうてんがい,shopping district
3122,街道,かいどう,"highway,  motorway"
3123,診る,みる,"to examine a patient,  to examine"
3124,診察,しんさつ,medical exam
3125,請願,せいがん,petition
3126,要請,ようせい,"demand,  request"
3127,請ける,うける,"to receive,  to undertake"
3128,閣僚,かくりょう,cabinet ministers
3129,閣議,かくぎ,cabinet meeting
3130,日韓,にっかん,"japan and south korea,  south korea and japan,  japan and korea,  korea and japan"
3131,好奇心,こうきしん,curiosity
3132,織物,おりもの,"cloth,  fabric"
3133,招き猫,まねきねこ,"shop window cat,  maneki neko"
3134,寄与,きよ,"contribution,  service"
3135,寄付,きふ,"contribution,  donation"
3136,居眠り,いねむり,"nap,  doze,  dozing,  nodding off,  dozing off"
3137,捜索,そうさく,"search,  investigation"
3138,迷惑メール,めいわくめーる,"spam,  junk mail,  unsolicited mail"
3139,お腹,おなか,"belly,  stomach,  abdomen"
3140,促す,うながす,"to urge,  to pressure"
3141,催促,さいそく,"urge,  press for,  demand"
3142,壊す,こわす,"to break something,  to break"
3143,宗教,しゅうきょう,religion
3144,宴会,えんかい,"banquet,  dinner party"
3145,怒り,いかり,"anger,  wrath"
3146,怖い,こわい,scary
3147,板,いた,"a board,  board,  a plank,  plank"
3148,看板,かんばん,store sign
3149,欧米,おうべい,"europe and america,  america and europe,  usa and europe,  europe and usa,  the west"
3150,入江,いりえ,"inlet,  cove"
3151,添付,てんぷ,attachment
3152,強烈,きょうれつ,"strong,  intense"
3153,猛烈,もうれつ,"fierce,  violent,  intense"
3154,痛み止め,いたみどめ,painkiller
3155,痛む,いたむ,"to be painful,  to hurt"
3156,眠る,ねむる,to sleep
3157,面積,めんせき,area
3158,航空,こうくう,"aviation,  flight"
3159,体積,たいせき,volume
3160,検索,けんさく,"lookup,  internet search"
3161,締切,しめきり,"deadline,  closing date"
3162,航法,こうほう,navigation
3163,詰める,つめる,"to stuff in,  to cram in"
3164,詰まる,つまる,"to be stuffed,  to be crammed full"
3165,誘惑する,ゆうわくする,to tempt
3166,請求,せいきゅう,"demand,  claim,  request,  charge"
3167,英雄,えいゆう,hero
3168,韓国,かんこく,"south korea,  korea"
3169,奇数,きすう,odd number
3170,奇妙,きみょう,"strange,  curious,  odd"
3171,腹が減った,はらがへった,"hungry,  to be hungry"
3172,構える,かまえる,"to assume a stance,  to get ready to fight"
3173,訪れる,おとずれる,to visit
3174,綺麗,きれい,"pretty,  beautiful,  clean"
3175,寄る,よる,"to approach,  to visit,  to drop in"
3176,迷い,まよい,"hesitation,  indecision,  doubt"
3177,腹立つ,はらだつ,"to get mad,  to get angry"
3179,更に,さらに,"again,  anew,  furthermore"
3180,不詳,ふしょう,unknown
3181,研修生,けんしゅうせい,trainee
3182,背後,はいご,"background,  behind the scenes"
3183,国旗,こっき,national flag
3184,〜系,けい,"tribe,  lineage,  group"
3185,ご覧,ごらん,"look at,  see"
3186,預ける,あずける,"to deposit,  to deposit money"
3187,乏しい,とぼしい,"scarce,  meager"
3188,初版,しょはん,first edition
3189,主,ぬし,"master,  head of household,  leader"
3190,押す,おす,to push
3191,背景,はいけい,background
3192,先程,さきほど,a while ago
3193,博覧会,はくらんかい,"exposition,  exhibition,  fair"
3194,魅力,みりょく,"allure,  charm,  attraction,  appeal"
3195,並べる,ならべる,"to line up,  to put in order"
3196,冷やす,ひやす,"to chill something,  to chill"
3197,欠乏,けつぼう,"lack,  scarcity,  deficiency"
3198,未婚,みこん,unmarried
3199,延期する,えんきする,to postpone
3200,延長,えんちょう,"prolonging,  extension"
3201,快い,こころよい,pleasant
3202,快速,かいそく,"high speed,  express"
3203,不快,ふかい,"unpleasant,  uncomfortable"
3204,懐かしい,なつかしい,"nostalgic,  nostalgia"
3205,盗撮,とうさつ,hidden camera
3206,白旗,しらはた,white flag
3207,変更,へんこう,"alteration,  change"
3208,更新,こうしん,"renewal,  update"
3209,渇く,かわく,"to become thirsty,  to be thirsty,  to become dry"
3210,漏水,ろうすい,water leakage
3211,漏出,ろうしゅつ,"leak out,  escape,  leakage"
3212,照らす,てらす,to illuminate
3213,出版,しゅっぱん,publishing
3214,版権,はんけん,copyright
3215,強盗,ごうとう,"burglary,  robbery"
3216,盗作,とうさく,plagiarism
3217,切符,きっぷ,ticket
3218,精神的,せいしんてき,"spiritual,  mental,  emotional"
3219,日系,にっけい,"japanese descent,  of japanese descent"
3220,太陽系,たいようけい,solar system
3221,翌日,よくじつ,"the next day,  next day,  the following day"
3222,翌月,よくげつ,"the next month,  next month,  the following month"
3223,翌朝,よくちょう,"the next morning,  next morning,  the following morning"
3224,翌年,よくねん,"the next year,  next year,  the following year"
3225,詳細,しょうさい,details
3226,貧乏,びんぼう,"poor,  poverty"
3227,購入,こうにゅう,purchase
3228,逆さま,さかさま,upside down
3229,遊ぶ,あそぶ,to play
3230,越権,えっけん,"overstepping your authority,  overstep one's authority,  overstepping one's authority"
3231,遊園地,ゆうえんち,"amusement park,  theme park"
3232,適当,てきとう,"appropriate,  proper,  irresponsible"
3233,登録する,とうろくする,to register
3234,預金,よきん,"bank deposit,  deposit,  bank account"
3235,電飾,でんしょく,decorative lighting
3236,騒ぐ,さわぐ,"to make noise,  to be boisterous,  to make a fuss"
3237,騒音,そうおん,"noise,  din"
3238,攻撃する,こうげきする,to attack
3239,官僚的,かんりょうてき,bureaucratic
3240,快楽,かいらく,"pleasure,  enjoyment"
3241,快適,かいてき,"pleasant,  agreeable,  comfortable"
3242,押し,おし,"push,  pressure"
3243,遊び,あそび,"play,  playing,  games"
3244,背広,せびろ,business suit
3245,結婚,けっこん,marriage
3246,求婚,きゅうこん,marriage proposal
3247,新婚旅行,しんこんりょこう,honeymoon
3248,快感,かいかん,pleasure
3249,撮る,とる,"to take a picture,  to take a photograph,  to take a photo,  to photograph,  to take video,  to film"
3250,撮影,さつえい,"photoshoot,  movie shoot,  photographing,  filming"
3251,診断する,しんだんする,to diagnose
3252,旗,はた,flag
3253,更生,こうせい,"rebirth,  resuscitation,  rehabilitation"
3254,枕,まくら,pillow
3255,浮く,うく,to float
3256,浮世絵,うきよえ,"woodblock print,  ukiyoe"
3257,浮気,うわき,"affair,  infidelity"
3258,漏れる,もれる,"to leak,  to leak out"
3259,照れる,てれる,"to feel embarrassed,  to be shy,  to be embarrassed,  to feel shy"
3260,照明,しょうめい,"illumination,  lighting"
3261,盗む,ぬすむ,to steal
3262,盗品,とうひん,"stolen goods,  stolen items"
3263,幼稚園,ようちえん,kindergarten
3264,精一杯,せいいっぱい,"with all one's might,  with all your might"
3265,精神病,せいしんびょう,"mental illness,  mental disorder"
3266,体系的,たいけいてき,systematic
3267,背,せ,"height,  back,  spine"
3268,一覧,いちらん,"a look,  a glance,  list,  table"
3269,観覧,かんらん,"viewing,  seeing"
3270,詳しい,くわしい,"detailed,  expert"
3271,貧しい,まずしい,poor
3272,購買,こうばい,purchasing
3273,購読,こうどく,subscription
3274,越える,こえる,"to go beyond,  to cross over"
3275,不適,ふてき,"unsuitable,  inappropriate"
3276,飾る,かざる,to decorate
3277,服飾,ふくしょく,attire
3278,移る,うつる,"to be shifted,  to be transferred"
3279,程よく,ほどよく,"properly,  well"
3281,尋問,じんもん,questioning
3282,棒,ぼう,"pole,  wooden pole,  rod"
3283,平均,へいきん,"average,  mean"
3284,均整,きんせい,"symmetry,  balance"
3285,迷わす,まよわす,"to lead astray,  to perplex"
3286,既に,すでに,"as mentioned before,  as mentioned previously,  already,  previously"
3287,掃く,はく,to sweep
3288,血脈,けつみゃく,"blood vessel,  blood relationship"
3289,探す,さがす,"to look for,  to search for"
3290,壊れる,こわれる,"to be broken,  to get broken"
3291,帯,おび,belt
3292,恐らく,おそらく,"probably,  perhaps,  likely,  i dare say,  maybe,  as likely as not"
3293,積む,つむ,"to pile things up,  to accumulate"
3294,催促する,さいそくする,"to urge,  to press for,  to demand"
3295,野菜,やさい,vegetable
3296,航空券,こうくうけん,airplane ticket
3297,融合,ゆうごう,fusion
3298,見詰める,みつめる,to stare at
3299,雄犬,おすいぬ,male dog
3300,絶やす,たやす,"to kill off,  to let die out"
3301,緊張する,きんちょうする,"to stress,  to stress out,  to be nervous"
3302,融資,ゆうし,"financing,  loan"
3303,離婚,りこん,divorce
3304,印鑑,いんかん,seal
3305,壊れ物,こわれもの,"fragile thing,  breakables,  fragile item"
3306,既存,きそん,existing
3307,編む,あむ,to knit
3308,普通,ふつう,"normal,  normally"
3309,普段,ふだん,"usual,  ordinary,  habitual,  always,  everyday"
3310,編者,へんしゃ,editor
3311,外務大臣,がいむだいじん,minister of foreign affairs
3312,総理大臣,そうりだいじん,prime minister
3313,監視,かんし,"observation,  monitor,  keep watch over,  surveillance"
3314,中華,ちゅうか,chinese
3315,豪華,ごうか,"luxurious,  splendid"
3316,鑑定,かんてい,expert opinion
3317,除く,のぞく,to exclude
3318,除外,じょがい,exception
3319,幾ら,いくら,how much
3320,泥水,でいすい,muddy water
3321,廊下,ろうか,"corridor,  hallway"
3322,画廊,がろう,picture gallery
3323,泥,どろ,mud
3324,驚く,おどろく,"to be surprised,  to be shocked"
3325,嘆く,なげく,"to lament,  to grieve"
3326,嘆息,たんそく,"sigh,  lament"
3327,感嘆符,かんたんふ,"exclamation mark,  exclamation point"
3328,倉庫,そうこ,"storehouse,  warehouse"
3329,倉,くら,warehouse
3330,子孫,しそん,descendant
3331,孫,まご,grandchild
3332,巣,す,"nest,  habitat"
3333,ハチの巣,はちのす,beehive
3334,クモの巣,くものす,spiderweb
3335,地帯,ちたい,"zone,  district"
3336,半径,はんけい,radius
3337,経路,けいろ,"route,  course"
3338,救急車,きゅうきゅうしゃ,ambulance
3339,救う,すくう,to rescue
3340,散歩,さんぽ,"a stroll,  a walk,  stroll,  walk"
3341,解散,かいさん,"breakup,  dissolution"
3342,粉,こな,"powder,  flour"
3343,麦粉,むぎこ,wheat flour
3344,粉状,ふんじょう,powdered
3345,人脈,じんみゃく,"personal connections,  network"
3346,通貨,つうか,currency
3347,大陸,たいりく,continent
3348,真似,まね,impersonation
3349,均等,きんとう,"equality,  uniformity,  evenness"
3350,墓,はか,grave
3351,富む,とむ,"to be rich,  to be wealthy"
3352,富裕,ふゆう,"wealthy,  affluent"
3353,徳川,とくがわ,"tokugawa,  tokugawa shogun"
3354,徳島県,とくしまけん,tokushima prefecture
3355,探究,たんきゅう,research
3356,内偵,ないてい,"scouting,  reconnaissance,  secret investigation"
3357,怖がる,こわがる,"to be scared,  to be afraid of"
3358,恐れる,おそれる,"to fear,  to dread"
3359,主催する,しゅさいする,"to sponsor,  to promote"
3360,幾度,いくど,"how many times,  how often"
3361,恐れ,おそれ,"fear,  horror,  anxiety,  concern,  uneasiness,  dread"
3362,用心棒,ようじんぼう,"bodyguard,  bouncer,  guard"
3363,華道,かどう,flower arrangement
3364,華美,かび,"gaudy,  pomp,  splendor,  splendour"
3365,恐い,こわい,"scary,  frightening,  eerie,  dreadful,  i'm afraid,  i'm scared"
3366,菜食,さいしょく,"vegetarianism,  vegetarian diet"
3367,鼻詰まり,はなづまり,"stuffy nose,  blocked nose"
3368,思い詰める,おもいつめる,to think hard
3369,離れる,はなれる,"to separate,  to leave"
3370,分離,ぶんり,"segregation,  separation"
3371,既決,きけつ,"decided,  settled"
3372,編集,へんしゅう,edit
3373,華やか,はなやか,showy
3374,地下街,ちかがい,"underground shopping mall,  underground shopping center,  shopping centre"
3375,監督,かんとく,"supervision,  direction,  director"
3376,掃除,そうじ,cleaning
3377,尋ねる,たずねる,"to inquire,  to ask"
3378,幾つ,いくつ,how many
3379,幾何学,きかがく,geometry
3380,驚嘆,きょうたん,"admiration,  wonder"
3381,巣立ち,すだち,"leave the nest,  become independent"
3382,直径,ちょっけい,diameter
3383,散る,ちる,"to be scattered,  to get scattered,  to scatter"
3384,花粉症,かふんしょう,hay fever
3385,山脈,さんみゃく,mountain range
3386,貨物,かもつ,"freight,  cargo"
3387,陸軍,りくぐん,"land army,  army"
3388,似る,にる,to resemble
3389,墓地,ぼち,"graveyard,  cemetery"
3390,富士山,ふじさん,"mt fuji,  mount fuji"
3391,富,とみ,wealth
3392,道徳,どうとく,"morals,  morality"
3393,探偵,たんてい,"private detective,  private investigator,  detective,  sleuth,  investigator"
3395,押しボタン,おしぼたん,push button
3396,傷心,しょうしん,heartbreak
3397,政党,せいとう,political party
3398,密輸,みつゆ,smuggling
3399,温暖,おんだん,"warm,  mild,  warmth"
3400,迎える,むかえる,"to pick someone up,  to meet someone"
3401,桜,さくら,"sakura,  cherry tree"
3402,今更,いまさら,"too late,  now"
3403,祖父,そふ,"grandfather,  grandpa"
3404,染める,そめる,to dye
3405,机,つくえ,desk
3406,結婚式,けっこんしき,"marriage ceremony,  wedding"
3407,結婚する,けっこんする,"to marry,  to get married"
3408,押入れ,おしいれ,"closet,  wall cubbard,  wall cupboard"
3409,出版社,しゅっぱんしゃ,"publishing company,  publisher"
3410,冷える,ひえる,"to be chilled,  to get cold"
3411,照り焼き,てりやき,teriyaki
3412,背中,せなか,"one's back,  back"
3413,序文,じょぶん,preface
3414,順序,じゅんじょ,"sequence,  steps"
3415,意志,いし,"will,  volition"
3416,採る,とる,to gather
3417,志望,しぼう,"desire,  ambition"
3418,恩賞,おんしょう,"reward,  a reward"
3419,採用,さいよう,"use,  adoption,  acceptance"
3420,先祖,せんぞ,"ancestors,  one's ancestors"
3421,祖母,そぼ,"grandmother,  grandma"
3422,功績,こうせき,"achievement,  accomplishment"
3423,興味,きょうみ,interest
3424,衛生,えいせい,hygiene
3425,複雑,ふくざつ,"complicated,  complex"
3426,衛星,えいせい,satellite
3427,複数,ふくすう,"multiple,  plural"
3428,複写,ふくしゃ,"copying,  duplication,  copy,  duplicate"
3429,雑音,ざつおん,"noise,  static"
3430,飼う,かう,"to keep a pet,  to raise a pet,  to own a pet"
3431,傷める,いためる,to damage
3432,傷者,しょうしゃ,"injured person,  wounded person"
3433,厳禁,げんきん,"strictly forbidden,  strictly prohibited,  strict prohibition,  ban"
3434,党員,とういん,party member
3435,厳しい,きびしい,strict
3436,捨てる,すてる,"to throw away,  to abandon"
3437,密か,ひそか,"secret,  private"
3438,密告,みっこく,secret information
3439,秘密,ひみつ,"secret,  a secret"
3440,感染,かんせん,"infection,  contagion"
3441,伝染病,でんせんびょう,contagious disease
3442,汚水,おすい,"dirty water,  filthy water,  sewage"
3443,汚点,おてん,"stain,  smudge"
3444,欲求,よっきゅう,"wants,  desires,  personal needs"
3445,肉欲,にくよく,carnal desires
3446,訳す,やくす,to translate
3447,和訳,わやく,japanese translation
3448,訳者,やくしゃ,translator
3449,訳語,やくご,translated term
3450,通訳,つうやく,"interpreting,  interpretation"
3451,英訳,えいやく,english translation
3452,越す,こす,to go beyond
3453,浮かれる,うかれる,"to be happy,  to be in high spirits,  to feel happy"
3454,意欲,いよく,"will,  desire,  ambition"
3455,食欲,しょくよく,appetite
3456,背が高い,せがたかい,tall
3457,飾り,かざり,"decoration,  ornament"
3458,火照る,ほてる,"to feel hot,  to flush,  to burn"
3459,傷,きず,"wound,  damage"
3460,背丈,せたけ,"stature,  height"
3461,火傷,やけど,"burn,  scald"
3462,飾り気,かざりけ,"showing off,  affectation"
3463,大騒ぎ,おおさわぎ,"clamor,  uproar,  big noise"
3464,出版する,しゅっぱんする,to publish
3465,貧乏人,びんぼうにん,poor person
3466,撮影禁止,さつえいきんし,"no photos,  no photos allowed"
3467,購読する,こうどくする,to subscribe
3468,桜んぼ,さくらんぼ,cherry
3469,志,こころざし,"intention,  ambition"
3470,恩人,おんじん,benefactor
3471,採決,さいけつ,voting
3472,採算,さいさん,profit
3473,桜肉,さくらにく,horse meat
3474,桜色,さくらいろ,"pink,  pink color,  pink colour,  color pink,  colour pink"
3475,永遠,えいえん,"forever,  eternity,  permanence"
3476,老眼,ろうがん,farsightedness
3477,永久,えいきゅう,"forever,  eternity"
3478,液体,えきたい,liquid
3479,血液,けつえき,blood
3480,眼,め,eyeball
3481,眼球,がんきゅう,eyeball
3482,成績,せいせき,"grades,  ranking"
3483,自衛,じえい,self defense
3484,雑費,ざっぴ,miscellaneous expenses
3485,酸っぱい,すっぱい,sour
3486,賛成,さんせい,"agreement,  approval,  support"
3487,酸素,さんそ,oxygen
3488,銭,ぜに,coin
3489,銭湯,せんとう,public bath
3490,自民党,じみんとう,"liberal democratic party,  ldp"
3491,共産党,きょうさんとう,communist party
3492,社会党,しゃかいとう,socialist party
3493,卵,たまご,egg
3494,生卵,なまたまご,raw egg
3495,ゆで卵,ゆでたまご,boiled egg
3496,込む,こむ,"to be crowded,  to be included"
3497,密会,みっかい,"secret meeting,  clandestine meeting"
3498,汚れる,よごれる,"to get dirty,  to get polluted,  to become dirty"
3499,汚染,おせん,pollution
3500,欲しい,ほしい,"wanted,  to want,  desired"
3501,暖かい,あたたかい,"warm place,  warm"
3502,秘める,ひめる,"to conceal,  to keep secret"
3503,訳,わけ,reason
3504,漏らす,もらす,"to leak something,  to leak"
3505,便秘,べんぴ,constipation
3507,体操,たいそう,"calisthenics,  gymnastics"
3508,乾かす,かわかす,"to dry something,  to dry"
3509,冷蔵庫,れいぞうこ,"refrigerator,  fridge"
3510,否決,ひけつ,rejection
3511,熟語,じゅくご,"compound word,  compound kanji,  jukugo"
3512,貨物船,かもつせん,"freighter,  freight ship"
3513,似合う,にあう,"to suit,  to match"
3514,驚かす,おどろかす,"to surprise,  to shock,  to astonish"
3515,掃除する,そうじする,to clean
3516,散らかす,ちらかす,to scatter
3517,雑誌,ざっし,magazine
3518,宝,たから,treasure
3519,砂漠,さばく,desert
3520,漠然,ばくぜん,vague
3521,果糖,かとう,fructose
3522,肺,はい,lung
3523,装い,よそおい,"attire,  dress,  garb"
3524,物真似,ものまね,impersonation
3525,簡単,かんたん,"simple,  easy,  simply"
3526,簡易,かんい,"simple,  easy"
3527,編集する,へんしゅうする,to edit
3528,掃除機,そうじき,vacuum cleaner
3529,華々しい,はなばなしい,"gorgeous,  flamboyant,  brilliant,  remarkable"
3530,除いて,のぞいて,except
3531,閉める,しめる,"to close,  to shut"
3532,閉店,へいてん,"store closed,  closed store"
3533,開閉,かいへい,"opening and closing,  opening and shutting"
3534,窓口,まどぐち,ticket window
3535,窓,まど,window
3536,否,いな,no
3537,否定,ひてい,denial
3538,筋肉,きんにく,muscle
3539,垂らす,たらす,"to dangle something,  to dangle"
3540,垂直,すいちょく,"vertical,  perpendicular"
3541,宝石,ほうせき,jewel
3542,国宝,こくほう,"national treasure,  nic cage"
3543,宣伝,せんでん,"propaganda,  advertising"
3544,宣言,せんげん,"proclamation,  declaration"
3545,尊敬,そんけい,respect
3546,忠告,ちゅうこく,"advice,  admonishment"
3547,拡張,かくちょう,"enlargement,  expansion,  extension"
3548,操る,あやつる,to manipulate
3549,操,みさお,"chastity,  virginity"
3550,灰色,はいいろ,"gray,  grey,  gray color,  grey color,  grey colour,  gray colour"
3551,敬語,けいご,"honorific,  term of respect,  keigo"
3552,野暮,やぼ,"unrefined,  rustic,  stupid"
3553,灰皿,はいざら,ashtray
3554,異なる,ことなる,to differ
3555,未熟,みじゅく,"not yet good at,  not good at"
3556,異状,いじょう,"abnormality,  something wrong"
3557,異性,いせい,"opposite sex,  opposite gender"
3558,異義,いぎ,different meaning
3559,皇太子,こうたいし,crown prince
3560,皇室,こうしつ,"imperial palace,  imperial household"
3561,盛る,もる,"to heap up,  to serve food"
3562,砂,すな,"sand,  grains"
3563,砂糖,さとう,sugar
3564,収納,しゅうのう,storage
3565,蒸れる,むれる,to be humid
3566,肺がん,はいがん,lung cancer
3567,肺病,はいびょう,lung disease
3568,著作,ちょさく,"writing,  authorship"
3569,地蔵,じぞう,"jizo,  jizou"
3570,服装,ふくそう,"attire,  dress"
3571,裏切る,うらぎる,"to backstab,  to betray"
3572,裏切り,うらぎり,"backstab,  betrayal"
3573,裏通り,うらどおり,"alley,  back street"
3574,諸〜,しょ,various
3575,賃貸,ちんたい,rental
3576,小麦粉,こむぎこ,flour
3577,泥棒,どろぼう,"robber,  burglar"
3578,離す,はなす,"to separate,  to keep apart"
3579,編集者,へんしゅうしゃ,editor
3580,蒸気,じょうき,"steam,  vapor"
3581,異常,いじょう,"abnormal,  strange,  disorder"
3582,蔵,くら,storehouse
3583,裏,うら,backside
3584,著者,ちょしゃ,author
3585,散らし,ちらし,"leaflet,  handbill,  flyer,  scattering"
3586,散歩する,さんぽする,"to go for a walk,  to go for a stroll,  to take a walk,  to take a stroll"
3587,墓場,はかば,"graveyard,  cemetery"
3588,筋,すじ,tendon
3589,尊い,とうとい,"revered,  noble,  precious"
3590,忠実,ちゅうじつ,"faithful,  devoted,  loyal"
3591,拡大,かくだい,"zoom,  magnification,  enlargement,  expansion"
3592,操作,そうさ,"operation,  handling"
3593,暮らす,くらす,"to live,  to live one's life"
3594,灰,はい,"ash,  ashes"
3595,熟れる,うれる,to ripen
3596,成熟,せいじゅく,"ripen,  mature,  ripeness,  maturity"
3597,天皇,てんのう,"emperor of japan,  emperor"
3598,皇族,こうぞく,"imperial family,  member of the imperial family"
3599,無糖,むとう,"sugar free,  unsweetened"
3600,納める,おさめる,"to supply,  to deliver,  to pay"
3601,納入,のうにゅう,"payment,  supply"
3602,著しい,いちじるしい,"remarkable,  marked"
3603,装置,そうち,"equipment,  device,  apparatus"
3604,変装,へんそう,disguise
3605,裏口,うらぐち,"back door,  rear entrance"
3606,家賃,やちん,"house rent,  rent"
3607,武装,ぶそう,"arms,  armament,  armed"
3609,紅,べに,"deep red,  dark red,  crimson"
3610,書き込む,かきこむ,"to fill out,  to write in"
3611,縮まる,ちぢまる,"to shrink,  to contract"
3612,電源,でんげん,"power source,  light socket"
3613,刻む,きざむ,"to carve,  to cut up"
3614,迎え,むかえ,"welcome,  meeting,  greeting,  reception"
3615,純毛,じゅんもう,all wool
3616,神聖,しんせい,"holiness,  holy"
3617,大損,おおぞん,"heavy loss,  big loss"
3618,誤字,ごじ,typo
3619,傷つく,きずつく,to get hurt
3620,傷つける,きずつける,"to hurt someone,  to injure,  to wound,  to scratch,  to damage"
3621,人込み,ひとごみ,"crowd of people,  crowded,  crowded with people"
3622,汚す,よごす,"to make dirty,  to make something dirty"
3623,血液型,けつえきがた,"blood type,  blood group"
3624,賛成する,さんせいする,"to agree,  to support"
3625,貴い,とうとい,"valuable,  sacred"
3626,貴族,きぞく,"the nobility,  a noble"
3627,降る,ふる,"to fall,  to come down"
3628,焼き芋,やきいも,"roast potato,  baked potato"
3629,縦,たて,vertical
3630,縦書,たてがき,"vertical writing,  vertical style writing"
3631,推理,すいり,"reasoning,  inference"
3632,自薦,じせん,recommendation
3633,発揮する,はっきする,"to exhibit,  to demonstrate"
3634,源氏,げんじ,genji
3635,勤める,つとめる,"to be employed at,  to work for"
3636,常勤,じょうきん,"full time employment,  full time"
3637,歓楽街,かんらくがい,pleasure quarter
3638,損害,そんがい,"damage,  injury"
3639,小豆,あずき,"azuki beans,  adzuki beans"
3640,腐敗,ふはい,"decomposition,  decay"
3641,爪,つめ,"claw,  nail,  talon,  hoof"
3642,縦横,たてよこ,"length and width,  vertical and horizontal"
3643,肺臓,はいぞう,lung
3644,純粋,じゅんすい,"pure,  genuine"
3645,誤解,ごかい,misunderstanding
3646,誤用,ごよう,misuse
3647,誤算,ごさん,miscalculation
3648,劇的,げきてき,dramatic
3649,劇団,げきだん,drama troupe
3650,歌劇,かげき,opera
3651,放射,ほうしゃ,radiation
3652,全損,ぜんそん,total loss
3653,枝,えだ,branch
3654,沿線,えんせん,along the train line
3655,粋,いき,stylish
3656,聖日,せいじつ,holy day
3657,聖地,せいち,"holy land,  holy ground"
3658,磁気,じき,magnetism
3659,磁石,じしゃく,"magnet,  a magnet"
3660,磁場,じば,magnetic field
3661,紅茶,こうちゃ,black tea
3662,注射,ちゅうしゃ,"shot,  injection"
3663,反射,はんしゃ,reflection
3664,発射する,はっしゃする,"to launch,  to fire"
3665,幕,まく,curtain
3666,字幕,じまく,subtitles
3667,聖書,せいしょ,bible
3668,黒幕,くろまく,"wirepuller,  mastermind,  black curtain,  dick cheney"
3669,拝む,おがむ,"to worship,  to pray to"
3670,複数形,ふくすうけい,plural
3671,心臓,しんぞう,heart
3672,内臓,ないぞう,internal organ
3673,引っ越す,ひっこす,"to move,  to move homes"
3674,追い越す,おいこす,to overtake
3675,祖父母,そふぼ,grandparents
3676,飼い主,かいぬし,pet owner
3677,使い捨て,つかいすて,disposable
3678,投げ捨てる,なげすてる,to throw away
3679,込める,こめる,to include
3680,申し込む,もうしこむ,"to apply,  to submit an application"
3681,飛び込み自殺,とびこみじさつ,suicide by train
3682,染み,しみ,"stain,  a stain"
3683,詰め込む,つめこむ,"to stuff,  to cram"
3684,染まる,そまる,to be dyed
3685,言い訳,いいわけ,"excuse,  explanation"
3686,歓迎,かんげい,"a welcome,  welcome"
3687,興味がない,きょうみがない,"no interest,  not interested"
3688,兄貴,あにき,"older brother,  big brother,  elder brother,  one's senior"
3689,貴様,きさま,you
3690,降参,こうさん,surrender
3691,降車,こうしゃ,"getting off a train,  get off a train,  getting off the train,  get off the train"
3692,牛丼,ぎゅうどん,"beef bowl,  beef rice bowl"
3693,うなぎ丼,うなぎどん,"eel bowl,  eel rice bowl"
3694,丼,どんぶり,rice bowl
3695,吐く,はく,"to puke,  to throw up,  to barf"
3696,奴隷,どれい,slave
3697,芋,いも,potato
3698,じゃが芋,じゃがいも,"white potato,  irish potato"
3699,縮小,しゅくしょう,"reduction,  cut"
3700,単純,たんじゅん,simple
3701,推定,すいてい,"estimate,  estimation,  assumption"
3702,推薦,すいせん,recommendation
3703,指揮,しき,"command,  lead"
3704,沿う,そう,"to run alongside,  to run parallel to"
